image_id,competitor_product_id,url,source_page,publisher,match_state,retrieved_at,source_id
cimg-bosch-unlimited7-prohygienic-0,bosch-unlimited7-prohygienic,https://media3.bsh-group.com/Product_Shots/5120x/20498400_BCS71HYG1_STP_def.webp,https://www.bosch-home.nl/nl/category/stofzuigers/oplaadbare-stofzuigers/unlimited,Bosch,VERIFIED_EXACT,2026-08-27,src-img-rest-bosch-unlimited7-prohygienic
cimg-electrolux-ergorapido-erg25n-0,electrolux-ergorapido-erg25n,https://electrolux.vtexassets.com/arquivos/ids/213276-1000-1000?v=637711273109500000&width=1000&height=1000&aspect=true&format=auto,https://loja.electrolux.com.br/aspirador-de-po-vertical-18v-ergorapido-electrolux-sem-fio-2-em-1-luz-led-ate-35-min--erg25n-/p,Electrolux,VERIFIED_EXACT,2026-08-27,src-img-rest-electrolux-ergorapido-erg25n
cimg-tefal-sv9202-0,tefal-sv9202,https://twicpics.tefal.nl/https://dam.groupeseb.com/asset/2ff3afa5-b4f2-4bbf-82f3-e0053324f1bf/Digital/TF_SV9202E0_A_blue.png?timestamp=20260320134952,https://www.tefal.nl/p/express-protect-sv9202-stoomgenerator/1830007760,Tefal,VERIFIED_EXACT,2026-08-27,src-img-rest-tefal-sv9202
cimg-tefal-gv9567-0,tefal-gv9567,https://twicpics.tefal.nl/https://dam.groupeseb.com/m/56d0b18f098647ee/Medium-Tefal_GV9567E1_1830007393_H1.png?timestamp=20260115020513,https://www.tefal.nl/p/pro-express-ultimate-gv9567-stoomgenerator/1830007393,Tefal,VERIFIED_EXACT,2026-08-27,src-img-rest-tefal-gv9567
cimg-tefal-gv9810-0,tefal-gv9810,https://twicpics.tefal.nl/https://dam.groupeseb.com/m/cf04de6804cf724/Digital-TF_GV9810_A_PURPLE-WHITE.png?timestamp=20260123073335,https://www.tefal.nl/p/pro-express-vision-gv9810-stoomgenerator/1830008264,Tefal,VERIFIED_EXACT,2026-08-27,src-img-rest-tefal-gv9810
cimg-braun-carestyle5-0,braun-carestyle5,https://dam.delonghi.com/902x902/assets/283243,https://www.braunhousehold.com/de-de/p/carestyle-5-carestyle-5-dampfbugelstation-is-5249-bk-schwarz/IS5249BK.html?pid=0128809002,Braun,VERIFIED_EXACT,2026-08-27,src-img-rest-braun-carestyle5
cimg-braun-carestyle7pro-0,braun-carestyle7pro,https://dam.delonghi.com/902x902/assets/245132,https://www.braunhousehold.com/de-de/p/carestyle-7-pro-carestyle-7-pro-dampfbugelstation-is-7286-schwarz/IS7286BK.html?pid=0128805002,Braun,VERIFIED_EXACT,2026-08-27,src-img-rest-braun-carestyle7pro
cimg-steamone-george2-0,steamone-george2,https://steam-one.com/cdn/shop/files/GEORGE2-Complet.jpg?v=1750148627&width=416,https://steam-one.com/en/products/george-2-eues200bv2-steamer,Steamone,VERIFIED_EXACT,2026-08-27,src-img-rest-steamone-george2
cimg-petsafe-smart-feed-0,petsafe-smart-feed,https://cdn.shopify.com/s/files/1/0468/3959/5171/products/smartfeedpdp_4c6404c3-13f2-4cb7-9051-1e730522fb43.jpg?v=1601375189&width=600,https://www.petsafe.com/gb/p/smart-feed-automatic-dog-and-cat-feeder/PFD19-16861/,PetSafe,VERIFIED_EXACT,2026-08-27,src-img-rest-petsafe-smart-feed
cimg-surefeed-microchip-connect-0,surefeed-microchip-connect,https://www.surepetcare.com/media/products/117/Feeder_Connect_No_Text.png,https://www.surepetcare.com/en-gb/pet-feeder/microchip-pet-feeder-connect,Sure Petcare,VERIFIED_EXACT,2026-08-27,src-img-rest-surefeed-microchip-connect
cimg-petlibro-granary-smart-camera-0,petlibro-granary-smart-camera,https://uk.petlibro.com/cdn/shop/files/PDP-01-_Compressify.io.png?v=1764926411,https://uk.petlibro.com/products/petlibro-granary-automatic-pet-feeder-with-camera,PETLIBRO,VERIFIED_EXACT,2026-08-27,src-img-rest-petlibro-granary-smart-camera
